name,requirement,description,company
AI应用产品经理,"1、负责过国际化/出海，具有SaaS/开发者相关产品的经历；
2、有使用Cursor、Windsurf、V0.dev、bolt.new、Devin等AI编程产品的经验；
3、对新技术趋势保持敏感，有使用不同AI工具构建应用的经验，并能识别AI工具的优劣及可改进点。
","1、负责AI应用开发平台的产品规划与需求管理，制定并推进产品路线图；
2、与技术团队紧密协作，确保平台功能落地并在垂直领域给用户最好的体验；
3、持续收集用户反馈和市场动态，迭代优化产品功能。
",aliyun
AI大模型产品经理实习生-飞书,"1、2026届硕士及以上学位在读，计算机、人工智能专业优先；
2、扎实的深度学习技术基础，有大语言模型、多模态等相关的项目经验和大模型评测经验；
3、熟练掌握Python/C++等至少一门编程语言；熟练Pytorch或Tensorflow等训练框架；
4、有很好的产品意识，能快速理解业务产品需求，有较强的项目管理能力、协同能力以及数据洞察能力。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：飞书作为先进的企业协作与管理平台，是字节跳动在B端与企业服务领域的重要布局。不仅一站式整合办公协作套件，更提供高效的组织管理、业务管理和 AI 智能伙伴等先进工具，帮助组织和个人为 AI 时代做好准备。各行业越来越多先进企业，都选择与飞书共创行业最佳实践。先进团队，先用飞书。

1、参与飞书AI相关的产品规划和设计，结合用户需求与AI技术提出创新方案；
2、负责飞书内大模型相关AI应用场景的效果提升；
3、负责飞书内大语言模型评估体系、评测集设计和研发，并基于评测制定优化方案；
4、飞书业务内大语言模型训练过程中每个阶段数据质量评估，确保大语言模型训练数据的有效性。",bytedance
AI智能客服产品经理实习生-国际化,"1、本科及以上学历在读，小语种相关专业优先；
2、有AI大模型相关产品经历优先；
3、具备较强的沟通协调能力，拥有强烈的责任心和团队合作精神，出色的学习能力；
4、英语阅读能力较强，有海外留学背景加分。","日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：国际化短视频商业化变现产品设计团队旨在使客户能够毫不费力地与用户建立联系，并最大限度地发挥品牌潜力。我们希望简化和激励客户实现目标，探索更多可能性，并与国际化短视频创造价值。作为团队成员，你将能够利用定性/定量研究来收集用户反馈，为我们的客户创造深刻的理解和共情，并与设计、产品和营销团队跨职能合作，以满足业务需求。

1、参与国际化短视频企业号AI私信方向的产品设计、产品策略制定、产品流程优化等工作；
2、了解国际化产品视频内容特点和海外广告主或用户的特点，可以提出有建设性的方案；
3、通过数据分析、市场调研、用户调研等多种手段，团队协作达成产品目标；
4、跟海内外合作团队定期沟通、协调推动相关的业务团队高质量执行。",bytedance
AI大模型产品经理实习生-飞书,"1、2026届硕士及以上学位在读，计算机、人工智能专业优先；
2、扎实的深度学习技术基础，有大语言模型、多模态等相关的项目经验和大模型评测经验；
3、熟练掌握Python/C++等至少一门编程语言；熟练Pytorch或Tensorflow等训练框架；
4、有很好的产品意识，能快速理解业务产品需求，有较强的项目管理能力、协同能力以及数据洞察能力。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：飞书作为先进的企业协作与管理平台，是字节跳动在B端与企业服务领域的重要布局。不仅一站式整合办公协作套件，更提供高效的组织管理、业务管理和 AI 智能伙伴等先进工具，帮助组织和个人为 AI 时代做好准备。各行业越来越多先进企业，都选择与飞书共创行业最佳实践。先进团队，先用飞书。

1、参与飞书AI相关的产品规划和设计，结合用户需求与AI技术提出创新方案；
2、负责飞书内大模型相关 AI 应用场景的效果提升；
3、负责飞书内大语言模型评估体系、评测集设计和研发，并基于评测制定优化方案；
4、飞书业务内大语言模型训练过程中每个阶段数据质量评估，确保大语言模型训练数据的有效性。",bytedance
AI产品实习生-飞书,"1、2026届硕士及以上学位在读，计算机、软件工程等相关专业优先；
2、善于逻辑思维推导，对数据高度敏感；
3、具备快速学习、良好的沟通和协作能力；
4、对创新类产品有高度热忱，对AIGC、LLM等前沿AI产品有了解的优先；
5、能实习至少3个月以上，且一周出勤4天以上同学优先。","ByteIntern：面向2026届毕业生(2025年9月-2026年8月期间毕业)，为符合岗位要求的同学提供转正机会。
团队介绍：飞书是 AI 时代先进生产力平台，提供一站式工作协同、组织管理、业务提效工具和深入企业场景的 AI 能力，助力企业能增长，有巧降。从互联网、高科技、消费零售，到制造、金融、医疗健康等，各行各业先进企业都在选择飞书，与飞书共创行业最佳实践。先进团队，先用飞书。

1、参与视频会议AI功能产品迭代的相关工作，如产品信息收集与分析、用户反馈与调研、设计还原验收等；
2、针对业务问题同上下游相关团队讨论解决方案，并推动项目进行；
3、深入了解和掌握行业产品的动态，不断丰富和完善解决方案；
4、适应创业团队节奏，随时胜任团队中其他岗位角色。",bytedance
AI产品实习生-今日头条,"1、2026届本科及以上学历在读，计算机、软件工程等相关专业优先；
2、逻辑清晰、聪明、具有优秀的学习能力，能够快速自我迭代，具备独立完成一些基础产品工作的能力；
3、资讯类产品深度用户，有同理心，对产品体验敏感；有AI、搜索产品经验优先；
4、良好的交流与团队协作能力，责任心强，具备较强自驱力。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：产品覆盖今日头条、头条极速版等各类产品，为上亿用户持续提供优质的资讯、视频等服务。我们通过建立良好的内容生态，鼓励优质的原创内容，为创作者提供优质的服务和创作体验，促进创作和交流，同时我们致力于通过尽可能丰富的内容体裁和尽可能多的分发方式，连接人与信息，丰富大家的精神生活，让人们看到更大的世界。

1、协助跟进今日头条AI模块的产品功能，挖掘体验改进点，推动AI功能的体验迭代；
2、协助监测、整理、分析行业产品动态与行业变化，产出有价值的观点/报告；
3、独立挖掘业务问题，主动跨团队沟通、推动落实，提升问题解决和执行效率。",bytedance
AI产品实习生-Data AML,"1、2026届本科及以上学历在读，计算机科学、信息技术、人工智能或相关专业背景优先；
2、逻辑清晰，具有良好的问题分析能力和问题解决能力；
3、出色的沟通和团队合作能力，能够与多个团队紧密协作；
4、有互联网产品实习经历优先。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：Data AML是字节跳动公司的机器学习中台，为抖音/今日头条/西瓜视频等业务提供推荐/广告/CV/语音/NLP的训练和推理系统。为公司内业务部门提供强大的机器学习算力，并在这些业务的问题上研究一些具有通用性和创新性的算法。同时，也通过火山引擎将一些机器学习/推荐系统的核心能力提供给外部企业客户。此外，AML还在AI for Science，科学计算等领域做一些前沿研究。

1、参与AI平台的产品建设与迭代；
2、通过用户调研、产品调研、数据分析等方式了解和挖掘客户需求，产出需求文档并推进功能落地；
3、跟踪产品的上线效果、用户反馈，为产品功能的优化打磨提供合理建议；
4、通过培训、教学文档等方式为用户提供支持，确保用户能够高效使用AI平台。",bytedance
大模型产品实习生-TikTok AI创新中心,"1、2026届本科及以上学历在读，专业背景不限；
2、熟悉大模型基础知识，阅读广泛，对高质量的数据有自己的认识；
3、对人机交互有自己的理解，掌握一定的提示工程技术，懂得如何更好地利用大模型生成数据；
4、优秀的学习能力和实践能力，对通用人工智能有浓厚的兴趣，对新事物有强烈的好奇心和探索欲；
5、英语读写能力优秀，每周能至少实习四天。","ByteIntern：面向2026届毕业生(2025年9月-2026年8月期间毕业)，为符合岗位要求的同学提供转正机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok AI创新中心，是致力于AI基础设施建设和创新研究的部门，探索行业领先的人工智能技术，包括大语言模型，多模态大模型等研究方向。我们希望研发能够处理多语言和海量视频内容理解的模型算法，为用户带来更好的内容消费体验。在Code AI方向，我们利用大语言模型强大的代码理解与推理能力，提升程序性能与研发效率。

1、与算法研究员紧密合作，定义高质量的数据集评价标准；
2、阅读相关领域最新研究论文或报告，寻找高效科学的方法获取及构建高质量数据；
3、与工程师密切配合，搭建高效的数据采集、获取与生产管线；
4、设计训练数据标注所需的流程、规则与画像，对项目的质量和进度负责。",bytedance
AI产品实习生-Data AML,"1、2026届本科及以上学历在读，计算机科学、信息技术、人工智能或相关专业背景优先；
2、逻辑清晰，具有良好的问题分析能力和问题解决能力；
3、出色的沟通和团队合作能力，能够与多个团队紧密协作；
4、有互联网产品实习经历优先。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：Data AML是字节跳动公司的机器学习中台，为抖音/今日头条/西瓜视频等业务提供推荐/广告/CV/语音/NLP的训练和推理系统。为公司内业务部门提供强大的机器学习算力，并在这些业务的问题上研究一些具有通用性和创新性的算法。同时，也通过火山引擎将一些机器学习/推荐系统的核心能力提供给外部企业客户。此外，AML还在AI for Science，科学计算等领域做一些前沿研究。

1、参与AI平台的产品建设与迭代；
2、通过用户调研、产品调研、数据分析等方式了解和挖掘客户需求，产出需求文档并推进功能落地；
3、跟踪产品的上线效果、用户反馈，为产品功能的优化打磨提供合理建议；
4、通过培训、教学文档等方式为用户提供支持，确保用户能够高效使用AI平台。",bytedance
大模型产品实习生-TikTok AI创新中心,"1、2026届本科及以上学历在读，专业背景不限；
2、熟悉大模型基础知识，对大模型评估有自己的理解和认识；
3、学习能力强，能够高效阅读科研论文或报告；
4、优秀的逻辑思维能力和沟通表达能力，强烈的好奇心；
5、英语读写能力优秀，每周能至少实习4天。","ByteIntern：面向2026届毕业生(2025年9月-2026年8月期间毕业)，为符合岗位要求的同学提供转正机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok AI创新中心，是致力于AI基础设施建设和创新研究的部门，探索行业领先的人工智能技术，包括大语言模型，多模态大模型等研究方向。我们希望研发能够处理多语言和海量视频内容理解的模型算法，为用户带来更好的内容消费体验。在Code AI方向，我们利用大语言模型强大的代码理解与推理能力，提升程序性能与研发效率。

1、实时跟进大模型评估进展，深入了解不同Benchmark评估的维度及其优劣；
2、设计及优化模型评估维度，从数据角度能提出有效的模型优化方案；
3、与算法研究员和工程师合作，优化或构建Benchmark数据集；
4、对大模型进行相关的评测，并撰写详细的评估报告。",bytedance
AI产品实习生-Data,"1、本科及以上学历在读，计算机科学、信息技术、人工智能或相关专业背景优先；
2、逻辑清晰，具有良好的问题分析能力和问题解决能力；
3、出色的沟通和团队合作能力，能够与多个团队紧密协作；
4、有互联网产品实习经历优先；
5、实习3个月及以上。","日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：字节跳动Data研发部门，负责公司产品线的推荐、广告、系统架构、大数据和开放平台等技术。

1、参与AI平台的产品建设与迭代；
2、通过用户调研、产品调研、数据分析等方式了解和挖掘客户需求，产出需求文档并推进功能落地；
3、跟踪产品的上线效果、用户反馈，为产品功能的优化打磨提供合理建议；
4、通过培训、教学文档等方式为用户提供支持，确保用户能够高效使用AI平台。",bytedance
AI产品实习生-开发者AI,"1、2026届本科及以上学历在读，计算机、软件工程等相关专业优先；
2、了解基础的AI技术，例如NLP、机器学习、LLM的大致原理；
3、具备良好的英语读写能力，能够阅读和理解产品、技术文档和学术论文；
4、具备良好的责任心和逻辑思维，有创新意识和意愿，有良好的分析能力，愿意独立思考；
5、有责任感，有跨团队协作能力，以用户价值为先，做热爱用户的产品经理，做用户喜爱的产品。","ByteIntern：面向2026届毕业生（2025年9月-2026年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：字节跳动开发者AI团队致力于探索AI技术在研发体系上应用和落地，覆盖场景包括AI for Code、AI在DevOps全流程中的落地，团队包括产品、工程、算法和研究人员多个角色，期待对大模型、研发工具体系有兴趣、对技术有追求的同学加入，共同成长！

1、建设字节跳动豆包Marscode等AI编程产品，包括用户调研、行业分析、产品设计、用户体验设计、用户运营等；
2、充分传递产品价值，理解客户需求，并落实有效需求到产品中，持续跟进产品的关键数据指标和用户反馈，持续迭代优化产品；
3、和业界AI人才一起交流创意，制定和实施领先的产品方案。",bytedance
